id,name,publisher,alignment,gender,race,image_url
1,A-Bomb,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/1-a-bomb.jpg
2,Abe Sapien,Dark Horse Comics,good,Male,Icthyo Sapien,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/2-abe-sapien.jpg
3,Abin Sur,DC Comics,good,Male,Ungaran,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/3-abin-sur.jpg
4,Abomination,Marvel Comics,bad,Male,Human / Radiation,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/4-abomination.jpg
5,Abraxas,Marvel Comics,bad,Male,Cosmic Entity,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/5-abraxas.jpg
6,Absorbing Man,Marvel Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/6-absorbing-man.jpg
7,Adam Monroe,NBC - Heroes,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/7-adam-monroe.jpg
8,Adam Strange,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/8-adam-strange.jpg
10,Agent Bob,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/10-agent-bob.jpg
11,Agent Zero,Marvel Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/11-agent-zero.jpg
12,Air-Walker,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/12-air-walker.jpg
13,Ajax,Marvel Comics,bad,Male,Cyborg,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/13-ajax.jpg
14,Alan Scott,DC Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/14-alan-scott.jpg
15,Alex Mercer,Wildstorm,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/15-alex-mercer.jpg
17,Alfred Pennyworth,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/17-alfred-pennyworth.jpg
18,Alien,Dark Horse Comics,bad,Male,Xenomorph XX121,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/18-alien.jpg
20,Amazo,DC Comics,bad,Male,Android,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/20-amazo.jpg
23,Angel,Dark Horse Comics,good,Male,Vampire,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/23-angel.jpg
24,Angel,Archangel,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/24-angel.jpg
25,Angel Dust,Marvel Comics,good,Female,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/25-angel-dust.jpg
26,Angel Salvadore,Tempest,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/26-angel-salvadore.jpg
28,Animal Man,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/28-animal-man.jpg
29,Annihilus,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/29-annihilus.jpg
30,Ant-Man,Giant-Man,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/30-ant-man.jpg
31,Ant-Man II,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/31-ant-man-ii.jpg
32,Anti-Monitor,DC Comics,bad,Male,God / Eternal,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/32-anti-monitor.jpg
34,Anti-Venom,Toxin,-,Male,Symbiote,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/34-anti-venom.jpg
35,Apocalypse,Marvel Comics,bad,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/35-apocalypse.jpg
36,Aquababy,DC Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/36-aquababy.jpg
37,Aqualad,DC Comics,good,Male,Atlantean,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/37-aqualad.jpg
38,Aquaman,DC Comics,good,Male,Atlantean,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/38-aquaman.jpg
39,Arachne,Marvel Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/39-arachne.jpg
40,Archangel,Angel,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/40-archangel.jpg
41,Arclight,Marvel Comics,bad,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/41-arclight.jpg
42,Ardina,Marvel Comics,good,Female,Alien,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/42-ardina.jpg
43,Ares,Marvel Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/43-ares.jpg
44,Ariel,Marvel Comics,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/44-ariel.jpg
45,Armor,Marvel Comics,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/45-armor.jpg
48,Atlas,Goliath,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/48-atlas.jpg
49,Atlas,DC Comics,bad,Male,God / Eternal,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/49-atlas.jpg
52,Atom Girl,DC Comics,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/52-atom-girl.jpg
53,Atom II,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/53-atom-ii.jpg
56,Aurora,Marvel Comics,good,Female,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/56-aurora.jpg
57,Azazel,Marvel Comics,bad,Male,Neyaphem,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/57-azazel.jpg
58,Azrael,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/58-azrael.jpg
60,Bane,DC Comics,bad,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/60-bane.jpg
61,Banshee,Marvel Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/61-banshee.jpg
62,Bantam,Marvel Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/62-bantam.jpg
63,Batgirl,Oracle,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/63-batgirl.jpg
66,Batgirl IV,DC Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/66-batgirl-iv.jpg
68,Batgirl VI,Spoiler,good,Female,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/68-batgirl-vi.jpg
69,Batman,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/69-batman.jpg
70,Batman,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/70-batman.jpg
71,Batman II,Nightwing,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/71-batman-ii.jpg
72,Battlestar,Marvel Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/72-battlestar.jpg
73,Batwoman V,DC Comics,good,Female,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/73-batwoman-v.jpg
75,Beast,Marvel Comics,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/75-beast.jpg
76,Beast Boy,DC Comics,good,Male,Human,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/76-beast-boy.jpg
78,Ben 10,DC Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/78-ben-10.jpg
79,Beta Ray Bill,Marvel Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/79-beta-ray-bill.jpg
80,Beyonder,Marvel Comics,good,Male,God / Eternal,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/80-beyonder.jpg
81,Big Barda,DC Comics,bad,Female,New God,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/81-big-barda.jpg
82,Big Daddy,Icon Comics,good,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/82-big-daddy.jpg
83,Big Man,Marvel Comics,bad,Male,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/83-big-man.jpg
84,Bill Harken,SyFy,good,Male,Alpha,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/84-bill-harken.jpg
87,Bionic Woman,-,good,Female,Cyborg,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/87-bionic-woman.jpg
88,Bird-Brain,Marvel Comics,good,-,-,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/88-bird-brain.jpg
92,Bishop,Marvel Comics,good,Male,Mutant,https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/sm/92-bishop.jpg
